00674 120 78 X SS
00675 121 79 Y SS
00676 122 7A Z SS
00677  33      EX
00683  34      EX
00684 101 65 E SG
00685 113 71 Q SG
00687  35      EX
00700  48 30 0 SG
00700  48 30 0 SR
00700  48 30 0 SS
00701  49 31 1 SR
00701  49 31 1 SS
00701  49 31 1 SG
00702  50 32 2 SR
00702  50 32 2 SS
00702  50 32 2 SG
00703  51 33 3 SG
00703  51 33 3 SS
00703  51 33 3 SR
00704  52 34 4 SG
00704  52 34 4 SR
00704  52 34 4 SS
00705  53 35 5 SG
00705  53 35 5 SR
00705  53 35 5 SS
00706  54 36 6 SG
00706  54 36 6 SS
00706  54 36 6 SR
00707  55 37 7 SR
00707  55 37 7 SS
00707  55 37 7 SG
00708  56 38 8 SG
00708  56 38 8 SR
00708  56 38 8 SS
00709  57 39 9 SG
00709  57 39 9 SR
00709  57 39 9 SS
00710  46 2E . SR
00710  46 2E . SS
00710  46 2E . SG
00711  44 2C , SS
00711  44 2C , SR
00711  44 2C , SG
00712  58 3A : SG
00712  58 3A : SS
00712  58 3A : SR
00713  59 3B ; SG
00713  59 3B ; SS
00713  59 3B ; SR
00714  33 21 ! SS
00714  33 21 ! SG
00714  33 21 ! SR
00715  63 3F ? SS
00715  63 3F ? SR
00715  63 3F ? SG
00716  39 27 ' SR
00716  39 27 ' SS
00716  39 27 ' SG
00717  34 22 " SS
00717  34 22 " SR
00717  34 22 " SG
00719  36 24 $ SR
00719  36 24 $ SS
00719  36 24 $ SG
00720  47 2F / SS
00720  47 2F / SR
00720  47 2F / SG
00721  40 28 ( SR
00721  40 28 ( SG
00721  40 28 ( SS
00722  41 29 ) SS
00722  41 29 ) SR
00722  41 29 ) SG
00723 124 7C | DR
00723 124 7C | SG
00723 124 7C | CI
00723 124 7C | SR
00723 124 7C | SS
00723 192      CS
00723 192      CR
00723 192      CC
00723 192      GI
00723 192      GE
00723 192      CG
00723 192      DR
00723 192      CI
00723 192      SS
00723 192      TI
00723 192      SR
00723 192      TR
00723 192      SG
00723 192      GG
00724  45 2D - SS
00724  45 2D - SR
00724  45 2D - SG
00725  43 2B + SR
00725  43 2B + SS
00725  43 2B + SG
00726  61 3D = SG
00726  61 3D = SR
00726  61 3D = SS
00728  42 2A * SG
00728  42 2A * SR
00728  42 2A * SS
00733  35 23 # SG
00733  35 23 # SS
00733  35 23 # SR
00734  38 26 & SS
00734  38 26 & SR
00734  38 26 & SG
00735  36      EX
00737 208      CR
00737 208      SG
00737 208      TI
00737 208      CI
00737 208      GI
00737 208      SR
00737 208      TR
00737 208      SS
00737 208      DR
00737 208      CC
00737 208      CS
00737 208      GE
00737 208      GG
00737 208      CG
00738 193      CS
00738 193      GE
00738 193      GI
00738 193      CC
00738 193      CR
00738 193      DR
00738 193      CG
00738 193      SR
00738 193      GG
00738 193      TI
00738 193      TR
00738 193      CI
00738 193      SS
00738 193      SG
00739  37      EX
00740 173      GI
00740 173      SS
00740 173      CI
00740 173      CG
00740 173      CS
00740 173      DR
00740 173      TR
00740 173      TI
00740 173      SR
00740 173      GE
00740 173      CC
00740 173      SG
00740 173      CR
00740 173      GG
00741  38      EX
00742  39      EX
00743  40      EX
00744  41      EX
00745  42      EX
00746  43      EX
00750  44      EX
00751  45      EX
00752  46      EX
00753  47      EX
00754  48      EX
00755  49      EX
00756  50      EX
00757  51      EX
00758  52      EX
00759  53      EX
00760  54      EX
00761  55      EX
00762  56      EX
00763  57      EX
00764  58      EX
00765  59      EX
00766  60      EX
00767  61      EX
00768  62      EX
00796  63      EX
00797  64      EX
00798  65      EX
00799  66      EX
00800  67      EX
00801  68      EX
00802  69      EX
00803  70      EX
00804  71      EX
00804  92 5C \ CG
00804  92 5C \ DR
00804  92      GE
00804  92 5C \ TR
00804  92 5C \ CC
00804  92      GG
00804  92 5C \ CR
00804  92 5C \ TI
00804  92 5C \ SS
00804  92 5C \ CS
00804  92 5C \ SR
00804  92 5C \ SG
00804  92 5C \ CI
00804  92      GI
00805  72      EX
00806  73      EX
00807  74      EX
00808  75      EX
00809  76      EX
00810  77      EX
00811  78      EX
00812  79      EX
00813  80      EX
00814  81      EX
00815  82      EX
00816  83      EX
00817  84      EX
00818  85      EX
00819  86      EX
00820  87      EX
00821  88      EX
00822  89      EX
00823  90      EX
00824  91      EX
00825  92      EX
00826  93      EX
00827  94      EX
00828  95      EX
00829  96      EX
00830  97      EX
00831  98      EX
00832  99      EX
00833 100      EX
00834 101      EX
00840 102      EX
00841 103      EX
00842 104      EX
00843 105      EX
00844 106      EX
00845 107      EX
00846 108      EX
00847 109      EX
00850 110      EX
00851 111      EX
00852 112      EX
00853 113      EX
00854 114      EX
00855 115      EX
00856 116      EX
00857 117      EX
00860 118      EX
00861 119      EX
00862 120      EX
00863 121      EX
00864 122      EX
00865 123      EX
00866 124      EX
00867 125      EX
00868 126      EX
00869 127      EX
00870 128      EX
00872 129      EX
00873 130      EX
00874 131      EX
00899 132      EX
00900 133      EX
00901 134      EX
00902 135      EX
00903 136      EX
00904 137      EX
00905 138      EX
00908 139      EX
00909 140      EX
01401 214      GG
01401 214      SR
01401 214      DR
01401 214      SS
01401 214      CS
01401 214      CC
01401 214      TR
01401 214      TI
01401 214      CI
01401 214      CG
01401 214      SG
01401 214      GI
01401 214      CR
01401 214      GE
01405  91 5B [ SS
01405  91 5B [ CI
01405  91 5B [ SG
01405  91 5B [ SR
01406  93 5D ] SR
01406  93 5D ] SG
01406  93 5D ] SS
01406  93 5D ] CI
02001  65 41 A CR
02002  66 42 B CR
02003  67 43 C CR
02004  68 44 D CR
02005  69 45 E CR
02006  70 46 F CR
02007  71 47 G CR
02008  72 48 H CR
02009  73 49 I CR
02010  74 4A J CR
02011  75 4B K CR
02012  76 4C L CR
02013  77 4D M CR
